graph_seed,metric,correlation_value
0,degree vs eigenscore,0.9039488178891042
0,degree vs betweenness,0.7880080215370927
0,degree vs highest-p_uv,0.4738842971142102
1,degree vs eigenscore,0.90570933880761
1,degree vs betweenness,0.7889702261948554
1,degree vs highest-p_uv,0.3709145882766186
2,degree vs eigenscore,0.9096960585091205
2,degree vs betweenness,0.7871327722564324
2,degree vs highest-p_uv,0.4006377272608687
3,degree vs eigenscore,0.8961247398698396
3,degree vs betweenness,0.8076972571033624
3,degree vs highest-p_uv,0.40335392767355355
4,degree vs eigenscore,0.8998667487473381
4,degree vs betweenness,0.8386239019547689
4,degree vs highest-p_uv,0.3748092940997105
5,degree vs eigenscore,0.8885074828710248
5,degree vs betweenness,0.82862855986859
5,degree vs highest-p_uv,0.3739650054880081
6,degree vs eigenscore,0.9118997613543024
6,degree vs betweenness,0.8286006851897005
6,degree vs highest-p_uv,0.37349124327323485
7,degree vs eigenscore,0.885283453206696
7,degree vs betweenness,0.7977611714499089
7,degree vs highest-p_uv,0.4146262865888361
8,degree vs eigenscore,0.915148120108346
8,degree vs betweenness,0.8230557088804247
8,degree vs highest-p_uv,0.4788850555008543
9,degree vs eigenscore,0.8844090348784048
9,degree vs betweenness,0.7828030883902336
9,degree vs highest-p_uv,0.5007865480539753
10,degree vs eigenscore,0.9095064204644412
10,degree vs betweenness,0.7926628545787201
10,degree vs highest-p_uv,0.4642605195043588
11,degree vs eigenscore,0.8959139642574665
11,degree vs betweenness,0.7707271852948807
11,degree vs highest-p_uv,0.4300519716394571
12,degree vs eigenscore,0.8770773725212127
12,degree vs betweenness,0.7833472255332544
12,degree vs highest-p_uv,0.43578875445124626
13,degree vs eigenscore,0.8926314694700882
13,degree vs betweenness,0.8110047636909586
13,degree vs highest-p_uv,0.39794206744353006
14,degree vs eigenscore,0.911817066200838
14,degree vs betweenness,0.7805449304063359
14,degree vs highest-p_uv,0.47671563872905304
15,degree vs eigenscore,0.9004567186889976
15,degree vs betweenness,0.7990339784201101
15,degree vs highest-p_uv,0.4011304195894623
16,degree vs eigenscore,0.9044792665169622
16,degree vs betweenness,0.7968101831122201
16,degree vs highest-p_uv,0.5189400028240849
17,degree vs eigenscore,0.9061235235331292
17,degree vs betweenness,0.8173596352302304
17,degree vs highest-p_uv,0.4437883113577733
18,degree vs eigenscore,0.9018672630141372
18,degree vs betweenness,0.8210508351439592
18,degree vs highest-p_uv,0.42578101729923196
19,degree vs eigenscore,0.864695076437423
19,degree vs betweenness,0.7571626196005254
19,degree vs highest-p_uv,0.3841243964562285
20,degree vs eigenscore,0.9035726030238722
20,degree vs betweenness,0.800101967511781
20,degree vs highest-p_uv,0.4871320080809442
21,degree vs eigenscore,0.8793265733259381
21,degree vs betweenness,0.7861350318321644
21,degree vs highest-p_uv,0.39590107096222643
22,degree vs eigenscore,0.8744396540272097
22,degree vs betweenness,0.7480660295568042
22,degree vs highest-p_uv,0.42133887606583614
23,degree vs eigenscore,0.8945746509323186
23,degree vs betweenness,0.7852153569926283
23,degree vs highest-p_uv,0.398822867830729
24,degree vs eigenscore,0.8998629301328166
24,degree vs betweenness,0.8308414172830971
24,degree vs highest-p_uv,0.32892030154799595
25,degree vs eigenscore,0.8821590590809928
25,degree vs betweenness,0.7933550368354627
25,degree vs highest-p_uv,0.3989739537994428
26,degree vs eigenscore,0.9152646611886462
26,degree vs betweenness,0.8273315299536013
26,degree vs highest-p_uv,0.31106790526770745
27,degree vs eigenscore,0.8935071449226255
27,degree vs betweenness,0.7709559421973413
27,degree vs highest-p_uv,0.4257266813420998
28,degree vs eigenscore,0.8970034172910689
28,degree vs betweenness,0.810584240754943
28,degree vs highest-p_uv,0.4020414813233514
29,degree vs eigenscore,0.8951112600765251
29,degree vs betweenness,0.818626803062045
29,degree vs highest-p_uv,0.4648308948416187
30,degree vs eigenscore,0.9166479511113371
30,degree vs betweenness,0.8090945070922891
30,degree vs highest-p_uv,0.40103352370086737
31,degree vs eigenscore,0.9113793431038896
31,degree vs betweenness,0.78923766228247
31,degree vs highest-p_uv,0.4616948674282499
32,degree vs eigenscore,0.9017130988037578
32,degree vs betweenness,0.7961341959683831
32,degree vs highest-p_uv,0.4580798757992472
33,degree vs eigenscore,0.9116031529885258
33,degree vs betweenness,0.8142713389664522
33,degree vs highest-p_uv,0.4655516123112858
34,degree vs eigenscore,0.8955176326460166
34,degree vs betweenness,0.8049898515991804
34,degree vs highest-p_uv,0.42058094642747507
35,degree vs eigenscore,0.8997363774763452
35,degree vs betweenness,0.832190362696112
35,degree vs highest-p_uv,0.44271922023673427
36,degree vs eigenscore,0.9061790498239668
36,degree vs betweenness,0.8186404593093739
36,degree vs highest-p_uv,0.458103947757188
37,degree vs eigenscore,0.9144813124352703
37,degree vs betweenness,0.8075443720045266
37,degree vs highest-p_uv,0.41798525886306004
38,degree vs eigenscore,0.8980130274563022
38,degree vs betweenness,0.7990821263957397
38,degree vs highest-p_uv,0.4338738270120717
39,degree vs eigenscore,0.8885849225128438
39,degree vs betweenness,0.7548754836125374
39,degree vs highest-p_uv,0.47264843486587205
