method_a,method_b,mean_a,mean_b,mean_diff,t_stat,p_value,n,holm_corrected_pvalue,significant_holm
GAT threshold,GAT top-k,0.05263543917872671,0.03225736105090398,0.020378078127822732,14.330571338034153,3.966250050995926e-17,40,5.552750071394297e-16,True
GAT top-k,degree-centrality,0.03225736105090398,0.026703430522391006,0.005553930528512975,5.621800967899072,1.7355142914053923e-06,40,1.0413085748432353e-05,True
degree-centrality,betweenness-centrality,0.026703430522391006,0.02944496415362451,-0.002741533631233504,-3.423523873852901,0.0014664304503795383,40,0.005865721801518153,True
degree-centrality,highest-p_uv,0.026703430522391006,0.04086753811960246,-0.014164107597211456,-9.714084358789927,5.781031299073056e-12,40,7.515340688794973e-11,True
highest-p_uv,betweenness-centrality,0.04086753811960246,0.02944496415362451,0.011422573965977952,8.339600759735685,3.354236163630437e-10,40,4.025083396356525e-09,True
RL,random,0.08560033361308302,0.11059094089136667,-0.024990607278283658,-2.9282469093443444,0.005665594694450629,40,0.011331189388901259,True
RL,greedy simulation-guided heuristic,0.08560033361308302,0.05939245949401537,0.026207874119067644,3.3422343685864537,0.001842374390533086,40,0.005865721801518153,True
RL,GAT threshold,0.08560033361308302,0.05263543917872671,0.0329648944343563,4.680914529893321,3.4089491437758236e-05,40,0.00017044745718879117,True
RL,GAT top-k,0.08560033361308302,0.03225736105090398,0.053342972562179035,7.375828429634764,6.5679371100239544e-09,40,5.911143399021559e-08,True
RL,degree-centrality,0.08560033361308302,0.026703430522391006,0.05889690309069201,7.796668390829538,1.771833311590907e-09,40,1.771833311590907e-08,True
RL,betweenness-centrality,0.08560033361308302,0.02944496415362451,0.05615536945945851,7.30709613940659,8.147107535654015e-09,40,6.517686028523212e-08,True
RL,highest-p_uv,0.08560033361308302,0.04086753811960246,0.044732795493480554,5.887653545186821,7.418440872343244e-07,40,5.192908610640271e-06,True
eigenscore,degree-centrality,0.02706152509595978,0.026703430522391006,0.0003580945735687756,0.3451422756403973,0.7318420173192755,40,0.7318420173192755,False
eigenscore,RL,0.02706152509595978,0.08560033361308302,-0.05853880851712323,-8.047591207964903,8.178652322098379e-10,40,8.996517554308217e-09,True
