device_type_pair,times_pruned,mean_s_uv,mean_p_uv,mean_hub_score
gateway<->service,81,0.18207657281999234,0.20826960946891454,0.06055163301540113
actuator<->gateway,70,1.1452743010861532,0.1650533483188262,0.045508838987099856
gateway<->gateway,70,0.1639444394835404,0.20627729763661473,0.08905876731963688
gateway<->sensor,44,0.9057733375917781,0.1618146854234306,0.03880358771663119
actuator<->service,38,1.4149310902545327,0.14418407765509977,0.018218623481781375
actuator<->user,25,1.4067391753196716,0.15540304572200112,0.013511705685618729
sensor<->user,23,1.2196157393248186,0.16032326611240283,0.013741457030681983
gateway<->user,22,0.6294337368824265,0.17644049370354564,0.037549407114624504
sensor<->service,22,1.148707996715199,0.14154862756595551,0.017254484645788992
user<->user,20,1.2953570544719697,0.18061714705841342,0.01563545150501672
service<->user,17,0.9299647317213171,0.1557525471233684,0.020558725162305724
service<->service,13,0.1984578359585542,0.17799681708802517,0.025469513763828146
actuator<->sensor,3,0.7741877436637878,0.16936794034327052,0.012263099219620958
