neighbor,neighbor_device_type,neighbor_hub_score,s_uv,p_uv
23,gateway,0.06020066889632107,0.12282328307628632,0.22936306027749148
14,gateway,0.08361204013377926,0.12872837483882904,0.2316709662244765
33,gateway,0.07357859531772575,0.1334916353225708,0.2303089865213377
7,gateway,0.06020066889632107,0.13371096551418304,0.22874196837416041
11,gateway,0.05351170568561873,0.13544175028800964,0.22728929063501596
22,gateway,0.04013377926421405,0.14000889658927917,0.17780748661932938
6,gateway,0.05016722408026756,0.1416831910610199,0.1778946366133901
0,gateway,0.1605351170568562,0.1419571042060852,0.18919778060740852
21,gateway,0.07357859531772575,0.1421373337507248,0.23045381756825206
10,gateway,0.07023411371237458,0.15103596448898315,0.22900707045032276
4,gateway,0.0903010033444816,0.1571231633424759,0.23166150306689753
5,gateway,0.06688963210702341,0.16729022562503815,0.17977110946472816
17,gateway,0.06020066889632107,0.17866384983062744,0.22855274084018476
12,gateway,0.046822742474916385,0.18668308854103088,0.2267097959490769
8,gateway,0.08695652173913043,0.1896239072084427,0.23108355021297816
60,service,0.026755852842809364,0.19202783703804016,0.1742496017861887
175,service,0.026755852842809364,0.19276292622089386,0.1742657732572516
62,service,0.030100334448160536,0.1977047175168991,0.2226544936910198
116,service,0.020066889632107024,0.20246760547161102,0.22181645258777538
30,service,0.033444816053511704,0.20870791375637054,0.2233511692393167
36,service,0.030100334448160536,0.2102930247783661,0.22168126353997408
58,service,0.030100334448160536,0.21563377976417542,0.22217626173119567
76,service,0.023411371237458192,0.21581581234931946,0.17461788128346345
131,service,0.020066889632107024,0.234469473361969,0.17472138148058572
61,service,0.026755852842809364,0.26104527711868286,0.17433691766389875
56,user,0.020066889632107024,0.709276020526886,0.22710928643571732
81,user,0.016722408026755852,0.7123254537582397,0.22719817483430466
45,user,0.020066889632107024,0.7458677887916565,0.22682415459636474
64,sensor,0.013377926421404682,0.75834059715271,0.23008696356301
172,service,0.020066889632107024,0.7694273591041565,0.17266396973853168
264,sensor,0.010033444816053512,0.7932119369506836,0.17918906342275828
29,user,0.016722408026755852,0.8252125978469849,0.22692596920011746
54,sensor,0.013377926421404682,0.8434861898422241,0.23236856866162944
257,user,0.013377926421404682,0.9106462001800537,0.2257328907821483
271,actuator,0.010033444816053512,1.2412256002426147,0.232032098696294
279,actuator,0.010033444816053512,1.2521154880523682,0.18287656768028615
209,actuator,0.010033444816053512,1.2568018436431885,0.2321319599432286
287,actuator,0.010033444816053512,1.2715411186218262,0.23191935101119257
147,actuator,0.013377926421404682,1.297071099281311,0.23247387523211543
