graph_seed,method,containment_ratio,frozen_recall,frozen_f1,time_s,removal_fraction,stopped_early
0,GAT threshold,0.05135918371457111,0.5,0.6086956521739131,0.0025246143341064453,0.5005611672278338,
0,GAT top-k,0.029649590073358743,0.5,0.6363636363636364,0.4154212474822998,0.574635241301908,
0,degree-centrality,0.029231253111859614,0.5,0.6363636363636364,0.003765106201171875,0.5005611672278338,
0,betweenness-centrality,0.025619157832151192,0.2857142857142857,0.4210526315789473,0.22548747062683105,0.5005611672278338,
0,highest-p_uv,0.038705635537281645,0.42857142857142855,0.5714285714285714,0.002602100372314453,0.5005611672278338,
0,random,0.1064583183975048,0.40476190476190477,0.5454545454545454,0.0073091983795166016,0.5005611672278338,
0,RL baseline (sec=1.0 util=1.0 cost=0.1),0.057728813319131454,0.5,0.6363636363636364,16.48567032814026,0.5005611672278338,False
0,RL high-security (sec=3.0 util=1.0 cost=0.1),0.06805862083629229,0.5,0.6086956521739131,15.208284616470337,0.5499438832772165,False
0,RL very-high-security (sec=10.0 util=1.0 cost=0.1),1.0,0.42857142857142855,0.5714285714285714,9.391392946243286,0.0,True
0,RL security-only (sec=1.0 util=0.0 cost=0.1),1.0,0.42857142857142855,0.5714285714285714,10.0841383934021,0.0,True
1,GAT threshold,0.0675491386944841,0.6,0.7499999999999999,0.0036003589630126953,0.5005611672278338,
1,GAT top-k,0.03729181371115062,0.6,0.7499999999999999,0.33496856689453125,0.5566778900112234,
1,degree-centrality,0.02891298985397847,0.5333333333333333,0.6956521739130436,0.004235267639160156,0.5005611672278338,
1,betweenness-centrality,0.035566882019297086,0.4,0.5217391304347827,0.3035881519317627,0.5005611672278338,
1,highest-p_uv,0.038705226850744935,0.4666666666666667,0.56,0.0035238265991210938,0.5005611672278338,
1,random,0.11276371885639633,0.35555555555555557,0.4827153522805697,0.008793354034423828,0.5005611672278338,
1,RL baseline (sec=1.0 util=1.0 cost=0.1),0.19434440847580722,0.6,0.6428571428571429,20.778862476348877,0.5005611672278338,False
1,RL high-security (sec=3.0 util=1.0 cost=0.1),1.0,0.6,0.7200000000000001,11.67410659790039,0.0,True
1,RL very-high-security (sec=10.0 util=1.0 cost=0.1),1.0,0.6,0.7200000000000001,11.452333450317383,0.0,True
1,RL security-only (sec=1.0 util=0.0 cost=0.1),1.0,0.6,0.7200000000000001,12.639037370681763,0.0,True
2,GAT threshold,0.061686503170338886,0.5384615384615384,0.5833333333333334,0.0045490264892578125,0.5005611672278338,
2,GAT top-k,0.02825240121443987,0.46153846153846156,0.6,0.3519742488861084,0.5791245791245792,
2,degree-centrality,0.029124304371128923,0.46153846153846156,0.5714285714285714,0.0054340362548828125,0.5005611672278338,
2,betweenness-centrality,0.02920375525473022,0.46153846153846156,0.5714285714285714,0.4006013870239258,0.5005611672278338,
2,highest-p_uv,0.03256962415761823,0.15384615384615385,0.23529411764705882,0.004579782485961914,0.5005611672278338,
2,random,0.12768532423988796,0.38461538461538464,0.4913975760657682,0.012009382247924805,0.5005611672278338,
2,RL baseline (sec=1.0 util=1.0 cost=0.1),0.052628598224462336,0.46153846153846156,0.5714285714285714,22.488476037979126,0.5005611672278338,False
2,RL high-security (sec=3.0 util=1.0 cost=0.1),0.052628598224462336,0.46153846153846156,0.5714285714285714,23.159965991973877,0.5005611672278338,False
2,RL very-high-security (sec=10.0 util=1.0 cost=0.1),1.0,0.46153846153846156,0.6,12.48865556716919,0.0,True
2,RL security-only (sec=1.0 util=0.0 cost=0.1),1.0,0.46153846153846156,0.6,12.09614634513855,0.0,True
3,GAT threshold,0.04013946963404589,0.38461538461538464,0.4545454545454546,0.004509687423706055,0.5005611672278338,
3,GAT top-k,0.03139896414638153,0.38461538461538464,0.4545454545454546,0.3683485984802246,0.5566778900112234,
3,degree-centrality,0.014505470131757394,0.38461538461538464,0.4347826086956522,0.0052950382232666016,0.5005611672278338,
3,betweenness-centrality,0.026409774471383183,0.23076923076923078,0.24999999999999994,0.4012181758880615,0.5005611672278338,
3,highest-p_uv,0.02726656359258929,0.15384615384615385,0.1904761904761905,0.004365205764770508,0.5005611672278338,
3,random,0.12178082065793436,0.4102564102564103,0.3651021711366539,0.011705160140991211,0.5005611672278338,
3,RL baseline (sec=1.0 util=1.0 cost=0.1),0.07612673623979556,0.6153846153846154,0.5333333333333333,21.840476989746094,0.5016835016835017,False
3,RL high-security (sec=3.0 util=1.0 cost=0.1),0.04308869398724407,0.5384615384615384,0.5185185185185186,21.442246437072754,0.5499438832772165,False
3,RL very-high-security (sec=10.0 util=1.0 cost=0.1),1.0,0.38461538461538464,0.4761904761904762,12.220774412155151,0.0,True
