condition,graph_seed,method,containment_ratio,frozen_f1,removal_fraction,stopped_early
"size_small (n=150, m=3)",0,GAT threshold,0.34482506994982276,0.5333333333333333,0.4988662131519275,
"size_small (n=150, m=3)",0,GAT top-k,0.14251925268460194,0.0,0.4467120181405896,
"size_small (n=150, m=3)",0,degree-centrality,0.032638059610701466,0.16666666666666669,0.4988662131519275,
"size_small (n=150, m=3)",0,betweenness-centrality,0.03751637001675362,0.16666666666666669,0.4988662131519275,
"size_small (n=150, m=3)",0,highest-p_uv,0.047136612071169114,0.0,0.4988662131519275,
"size_small (n=150, m=3)",0,random,0.13851349029975646,0.05555555555555556,0.4988662131519275,
"size_small (n=150, m=3)",0,RL,0.26639858842262704,0.4,0.5487528344671202,False
"size_small (n=150, m=3)",1,GAT threshold,0.0886571017026253,0.47058823529411764,0.4988662131519275,
"size_small (n=150, m=3)",1,GAT top-k,0.06296750739105361,0.5,0.5510204081632653,
"size_small (n=150, m=3)",1,degree-centrality,0.056419434609910335,0.588235294117647,0.4988662131519275,
"size_small (n=150, m=3)",1,betweenness-centrality,0.06248994170162213,0.37499999999999994,0.4988662131519275,
"size_small (n=150, m=3)",1,highest-p_uv,0.08989620809770417,0.4285714285714285,0.4988662131519275,
"size_small (n=150, m=3)",1,random,0.1709159047716689,0.5472689075630252,0.4988662131519275,
"size_small (n=150, m=3)",1,RL,0.19453445831362304,0.5555555555555556,0.5487528344671202,False
"size_small (n=150, m=3)",2,GAT threshold,0.07253053393725323,0.33333333333333326,0.4988662131519275,
"size_small (n=150, m=3)",2,GAT top-k,0.055205667185110226,0.3529411764705882,0.5532879818594104,
"size_small (n=150, m=3)",2,degree-centrality,0.04468571888795996,0.5,0.4988662131519275,
"size_small (n=150, m=3)",2,betweenness-centrality,0.045118202750991564,0.37499999999999994,0.4988662131519275,
"size_small (n=150, m=3)",2,highest-p_uv,0.04575357429196374,0.5263157894736842,0.4988662131519275,
"size_small (n=150, m=3)",2,random,0.1379039698638097,0.3995098039215686,0.4988662131519275,
"size_small (n=150, m=3)",2,RL,0.07710381195374783,0.380952380952381,0.5487528344671202,False
"size_small (n=150, m=3)",3,GAT threshold,0.26826886662005367,0.5,0.4988662131519275,
"size_small (n=150, m=3)",3,GAT top-k,0.15946996634346333,0.1818181818181818,0.5034013605442177,
"size_small (n=150, m=3)",3,degree-centrality,0.05147047725358391,0.2222222222222222,0.4988662131519275,
"size_small (n=150, m=3)",3,betweenness-centrality,0.05734886632262357,0.0,0.4988662131519275,
"size_small (n=150, m=3)",3,highest-p_uv,0.06404905575892875,0.15384615384615383,0.4988662131519275,
"size_small (n=150, m=3)",3,random,0.16677487569126412,0.06666666666666667,0.4988662131519275,
"size_small (n=150, m=3)",3,RL,0.10225651516524557,0.0,0.5487528344671202,False
"size_small (n=150, m=3)",4,GAT threshold,0.0679823982462408,0.19999999999999998,0.4988662131519275,
"size_small (n=150, m=3)",4,GAT top-k,0.061407642167103094,0.19999999999999998,0.546485260770975,
"size_small (n=150, m=3)",4,degree-centrality,0.052929086490021544,0.5,0.4988662131519275,
"size_small (n=150, m=3)",4,betweenness-centrality,0.047647734084164534,0.19999999999999998,0.4988662131519275,
"size_small (n=150, m=3)",4,highest-p_uv,0.06889642187388012,0.3636363636363636,0.4988662131519275,
"size_small (n=150, m=3)",4,random,0.14354202366844215,0.19999999999999998,0.4988662131519275,
"size_small (n=150, m=3)",4,RL,0.10078062426124637,0.19999999999999998,0.546485260770975,False
"size_small (n=150, m=3)",5,GAT threshold,0.305770865305003,0.5,0.4988662131519275,
"size_small (n=150, m=3)",5,GAT top-k,0.15428179313919807,0.15384615384615385,0.44897959183673475,
"size_small (n=150, m=3)",5,degree-centrality,0.0649359679985877,0.26666666666666666,0.4988662131519275,
"size_small (n=150, m=3)",5,betweenness-centrality,0.06663460237454195,0.5,0.4988662131519275,
"size_small (n=150, m=3)",5,highest-p_uv,0.06042342337173748,0.22222222222222224,0.4988662131519275,
