method,level,fraction_removed,containment_ratio,containment_ratio_std,recall,f1,precision,involves_low_baseline_seed
GAT threshold (lowest s_uv removed),0.1,0.09988776655443321,0.5925478049190916,0.08391115856533565,0.3157894736842105,0.42857142857142855,0.6666666666666666,False
GAT top-k-per-node,0.1,0.09652076318742986,0.48862716363394626,0.07463063505280919,0.3157894736842105,0.41379310344827586,0.6,False
degree-centrality (highest removed),0.1,0.09988776655443321,0.5726456625770464,0.3196836208179836,0.3684210526315789,0.4666666666666667,0.6363636363636364,False
betweenness-centrality (highest removed),0.1,0.09988776655443321,0.5938289814691597,0.05371742238364673,0.3157894736842105,0.42857142857142855,0.6666666666666666,False
highest-p_uv (highest removed),0.1,0.09988776655443321,0.6718866944129569,0.05913461198569272,0.42105263157894735,0.48484848484848486,0.5714285714285714,False
random,0.1,0.09988776655443321,0.8180170227773829,0.10516270320070546,0.38596491228070173,0.4630376344086022,0.5790598290598291,False
greedy simulation-guided heuristic,0.1,0.09988776655443321,0.8319285173418477,0.12479918232206605,0.3684210526315789,0.4666666666666667,0.6363636363636364,False
GAT threshold (lowest s_uv removed),0.25,0.2502805836139169,0.18440848176590025,0.07918010072227183,0.3684210526315789,0.4516129032258065,0.5833333333333334,False
GAT top-k-per-node,0.25,0.25589225589225584,0.12473845966022108,0.04934192051729354,0.3157894736842105,0.39999999999999997,0.5454545454545454,False
degree-centrality (highest removed),0.25,0.2502805836139169,0.15893713249237784,0.09036164305735583,0.3684210526315789,0.4516129032258065,0.5833333333333334,False
betweenness-centrality (highest removed),0.25,0.2502805836139169,0.15035006152222358,0.09103109681426567,0.21052631578947367,0.3076923076923077,0.5714285714285714,False
highest-p_uv (highest removed),0.25,0.2502805836139169,0.255416192515403,0.07799239357951601,0.15789473684210525,0.25,0.6,False
random,0.25,0.2502805836139169,0.4773017815984826,0.15492355430361993,0.3508771929824561,0.4136528685548293,0.5319444444444444,False
greedy simulation-guided heuristic,0.25,0.2502805836139169,0.27596345258013305,0.17404455451333486,0.3684210526315789,0.5185185185185185,0.875,False
GAT threshold (lowest s_uv removed),0.5,0.5005611672278338,0.03875341361583474,0.018019887629818664,0.3684210526315789,0.4516129032258065,0.5833333333333334,False
GAT top-k-per-node,0.5,0.5611672278338945,0.02980899626038543,0.006575730996948823,0.3157894736842105,0.41379310344827586,0.6,False
degree-centrality (highest removed),0.5,0.5005611672278338,0.032832913287339276,0.02185647277126511,0.2631578947368421,0.4166666666666667,1.0,False
betweenness-centrality (highest removed),0.5,0.5005611672278338,0.033918760908666135,0.017991250275538457,0.2631578947368421,0.4166666666666667,1.0,False
highest-p_uv (highest removed),0.5,0.5005611672278338,0.046720329738854705,0.01913549877488585,0.21052631578947367,0.3333333333333333,0.8,False
random,0.5,0.5005611672278338,0.11158570634556128,0.07317894756366414,0.3333333333333333,0.3996810207336523,0.6905901116427432,False
greedy simulation-guided heuristic,0.5,0.5005611672278338,0.0821549659201066,0.06818608623236272,0.3157894736842105,0.46153846153846156,0.8571428571428571,False
