graph_seed,final_removed,stopped_early
0,0.5005611672278338,False
1,0.5005611672278338,False
2,0.5005611672278338,False
3,0.5016835016835017,False
4,0.5016835016835017,False
5,0.5499438832772165,False
6,0.5005611672278338,False
7,0.5005611672278338,False
8,0.5005611672278338,False
9,0.5016835016835017,False
10,0.5005611672278338,False
11,0.5016835016835017,False
12,0.5028058361391694,False
13,0.5005611672278338,False
14,0.5499438832772165,False
15,0.5005611672278338,False
16,0.5005611672278338,False
17,0.5499438832772165,False
18,0.5016835016835017,False
19,0.5005611672278338,False
20,0.5499438832772165,False
21,0.5016835016835017,False
22,0.5005611672278338,False
23,0.5005611672278338,False
24,0.5028058361391694,False
25,0.5016835016835017,False
26,0.5005611672278338,False
27,0.5499438832772165,False
28,0.5028058361391694,False
29,0.5005611672278338,False
30,0.5499438832772165,False
31,0.5005611672278338,False
32,0.5016835016835017,False
33,0.5005611672278338,False
34,0.5005611672278338,False
35,0.5005611672278338,False
36,0.5016835016835017,False
37,0.5016835016835017,False
38,0.5016835016835017,False
39,0.5028058361391694,False
